II/, ABP/, PLETH/, RESP/
114,52,130,185
114,51,133,177
114,50,137,170
117,49,140,163
121,49,144,156
127,50,147,149
134,53,149,142
138,61,151,135
140,79,152,128
141,106,152,120
142,139,151,113
138,171,149,105
135,192,147,98
132,200,144,91
131,198,140,85
131,189,137,79
131,179,133,73
131,167,130,69
131,157,127,64
130,148,124,60
127,139,122,56
122,129,121,52
128,118,119,49
170,106,118,46
225,92,118,43
228,79,118,41
143,72,118,38
120,71,117,36
126,78,117,34
126,86,117,32
126,92,117,30
126,95,117,27
126,96,117,25
126,95,117,22
126,94,117,20
126,93,117,17
125,91,117,15
125,87,117,13
125,82,117,11
124,75,117,8
123,67,117,5
121,60,118,2
119,55,119,0
116,51,121,0
114,49,124,0
113,47,127,0
114,46,130,0
116,45,134,0
120,45,137,0
127,47,140,0
133,49,143,0
138,57,144,0
140,72,145,0
141,97,145,0
142,131,144,0
140,163,142,0
136,188,140,0
134,199,137,0
132,199,134,0
132,192,131,0
132,181,127,0
132,171,123,0
132,160,120,0
131,151,116,0
129,141,114,0
124,132,112,0
122,121,110,0
155,110,108,0
216,97,108,0
233,84,107,0
163,75,107,0
122,72,107,0
122,78,107,0
127,87,108,0
127,94,108,0
126,98,108,0
126,99,108,0
126,98,108,0
126,97,107,0
126,96,107,0
126,95,107,0
126,92,106,0
126,87,106,0
125,80,106,4
124,72,107,9
122,65,108,13
120,59,109,17
118,54,111,21
115,51,114,25
114,49,117,30
114,48,121,34
116,47,125,37
119,47,129,41
125,48,133,44
131,51,136,47
137,57,138,49
140,71,140,51
141,95,140,53
142,127,140,55
141,161,139,56
138,186,137,57
135,199,134,58
133,201,131,58
132,194,128,58
131,183,125,59
131,172,121,59
131,161,118,59
131,151,115,59
130,142,113,59
126,133,112,59
122,123,110,58
139,111,109,58
192,98,108,58
230,85,107,57
187,75,107,57
129,72,107,56
120,76,108,56
127,84,108,55
126,91,108,54
126,95,108,53
126,95,108,53
125,95,108,51
126,94,108,50
126,93,107,49
126,92,107,48
125,89,107,46
125,85,107,45
124,79,107,43
124,71,107,41
122,65,108,38
121,59,110,36
118,54,112,33
115,51,114,30
113,48,117,27
113,47,121,24
114,46,125,21
117,46,129,18
122,47,133,16
129,48,137,14
135,53,139,12
140,63,141,10
141,83,141,8
142,112,141,6
143,146,139,4
139,176,137,2
136,195,135,1
